1,None
2,4Kids Entertainment
3,ADV Films
4,Active
5,Adult Source Media
6,Anchor Bay Films
7,AnimEigo
8,Anime Midstream
9,Aniplex of America
10,Bandai
11,Bandai Entertainment
12,Bandai Namco Games
13,Bandai Visual USA
14,Capcom
15,Central Park Media
16,Cinelicious Pics
17,Crimson Star Media
18,Critical Mass Video
19,Crunchyroll
20,Dentsu Entertainment USA
21,DiC Entertainment
22,Discotek Media
23,DreamWorks
24,Elevenarts
25,Enoki Films
26,Flatiron Film Company
27,Funimation
28,GKIDS
29,Geneon Entertainment USA
30,Geneon Universal Entertainment
31,Haoliners Animation League
32,Hasbro
33,Inc.
34,JapanAnime
35,Kadokawa Pictures USA
36,Ketchup Entertainment
37,Kitty Media
38,Konami
39,Maiden Japan
40,Manga Entertainment
41,Marvel Entertainment
42,Media Blasters
43,Miramax Films
44,NIS America
45,NYAV Post
46,Nelvana
47,Nintendo of America
48,Nozomi Entertainment
49,NuTech Digital
50,OLM Digital
51,Pied Piper
52,Ponycan USA
53,Saban Entertainment
54,Sentai Filmworks
55,Shout! Factory
56,SoftCel Pictures
57,Sony Music Entertainment
58,Sony Pictures Entertainment
59,Super Techno Arts
60,Synch-Point
61,TOKYOPOP
62,Tencent Animation
63,The Pokemon Company International
64,Urban Vision
65,Viz Media
66,Voyager Entertainment
67,Walt Disney Studios
68,Warner Bros.
69,bilibili
70,feel.
